sp_elev,year,month,monthly_pet,monthly_tmed,monthly_prec
sylvestris_high,1971,1,6.80161772284706,1.825806453343361,145.60000124573708
sylvestris_high,1971,2,11.746222515655573,3.110714261553117,0
sylvestris_high,1971,3,3.468420107688758,0.8064516109804953,66.9000001475215
sylvestris_high,1971,4,13.971141022384922,2.8466666385531427,298.20000503212214
sylvestris_high,1971,5,24.989078609339217,4.461290303737886,40.100000366568565
sylvestris_high,1971,6,65.39578341496835,11.076666657129923,14.899999812245367
sylvestris_high,1971,7,102.58851249532822,16.706451662125126,0
sylvestris_high,1971,8,109.27063614156933,18.83548379713489,4.800000190734863
sylvestris_high,1971,9,69.07036547412272,13.719999980926511,15.600000448524952
sylvestris_high,1971,10,46.50999421629998,10.067741993934876,1.5
sylvestris_high,1971,11,2.4609213768779648,0.6966666686038177,54.59999939799309
sylvestris_high,1971,12,4.836958420031594,1.3516128986112532,70.90000034868717
sylvestris_high,1972,1,0,-0.4451612820548396,119.20000231266022
sylvestris_high,1972,2,1.1394138109234972e-8,8.22133031396288e-9,71.30000181496143
sylvestris_high,1972,3,4.894934939990242,1.119354848900149,76.30000034719706
sylvestris_high,1972,4,24.17319738631541,4.796666715542475,11.40000021457672
sylvestris_high,1972,5,42.99554681852396,7.477419348013017,38.700000524520874
sylvestris_high,1972,6,76.897719770158,12.923333247502644,5.499999910593033
sylvestris_high,1972,7,106.52591708148378,17.316129222992927,0
sylvestris_high,1972,8,94.00689197970512,16.32258052210654,1.5000000298023224
sylvestris_high,1972,9,47.73832143425979,9.653333361943565,62.700000032782555
sylvestris_high,1972,10,30.656480398715544,6.770967783466462,175.29999828338623
sylvestris_high,1972,11,21.507362305447177,5.483333335320155,35.000000059604645
sylvestris_high,1972,12,8.792761956707022,2.387096758571363,30.000000953674316
sylvestris_high,1973,1,3.8216618716061266,1.0548387191468669,56.99999879300594
sylvestris_high,1973,2,0,-0.12142859878284593,37.40000019222498
sylvestris_high,1973,3,8.428256605069395,1.8774193592609896,71.09999895095825
sylvestris_high,1973,4,28.960440752956213,5.69666662812233,7.599999904632568
sylvestris_high,1973,5,55.964126627770554,9.609677407049364,42.89999961853027
sylvestris_high,1973,6,73.83709819287428,12.433333428700765,4.000000037252903
sylvestris_high,1973,7,111.4314272229236,18.07419376988565,0
sylvestris_high,1973,8,110.3720661932236,19.01612921684019,13.899999618530272
sylvestris_high,1973,9,81.0016880176919,15.966666666666669,0
sylvestris_high,1973,10,41.12352024866045,8.954838660455518,218.20000076293945
sylvestris_high,1973,11,25.882369434892897,6.539999977747599,51.5000009983778
sylvestris_high,1973,12,6.64672790818345,1.8290322562379224,207.100001513958
sylvestris_high,1974,1,16.61165234864235,4.270967712085093,21.399999856948853
sylvestris_high,1974,2,2.2931575249956184,0.6571428578879152,73.1999984383583
sylvestris_high,1974,3,13.060580751399185,2.848387116866727,80.59999972581863
sylvestris_high,1974,4,13.93676346042241,2.839999987681707,93.6999982446432
sylvestris_high,1974,5,64.3626458737568,10.9774194148279,1.1000000312924385
sylvestris_high,1974,6,81.53099436404165,13.66333335240682,22.29999988526106
sylvestris_high,1974,7,111.26425624184706,18.048387219828943,0
sylvestris_high,1974,8,106.59797917692056,18.396774076646373,0
sylvestris_high,1974,9,74.56434888616464,14.756666628519694,0.5
sylvestris_high,1974,10,31.63940517650334,6.9774193321504905,44.39999985694885
sylvestris_high,1974,11,24.926805188964412,6.3100000063578285,5.6999999061226845
sylvestris_high,1974,12,21.80032060778909,5.664516133646811,0
sylvestris_high,1975,1,16.255890054468352,4.183871014464286,61.10000038146973
sylvestris_high,1975,2,9.350023439194953,2.503571454701679,46.300000704824924
sylvestris_high,1975,3,1.971019004987385,0.4709677239579539,111.40000062435864
sylvestris_high,1975,4,20.620985156754475,4.123333323001861,75.80000014603138
sylvestris_high,1975,5,33.92435393350148,5.967741981629403,30.49999952316284
sylvestris_high,1975,6,67.6515883505188,11.440000073115032,28.699999406933784
sylvestris_high,1975,7,124.27570870301142,20.051612977058657,0
sylvestris_high,1975,8,101.0861237912611,17.490322574492424,2.4000000953674316
sylvestris_high,1975,9,59.87956589139611,11.976666609446209,15.200000390410423
sylvestris_high,1975,10,46.729237915369595,10.112903210424609,1.2000000476837158
sylvestris_high,1975,11,14.872813845431436,3.860000000397364,19.50000001490116
sylvestris_high,1975,12,0.229150625211382,0.07419355694324739,118.79999924451111
sylvestris_high,1976,1,6.284892590254646,1.6935483928649655,88.09999942779541
sylvestris_high,1976,2,1.7706757166205145,0.5137931172703875,54.49999921023846
sylvestris_high,1976,3,7.760049976653229,1.7354838627000009,36.29999929666519
sylvestris_high,1976,4,9.506488340168898,1.9733333128194015,210.800000756979
sylvestris_high,1976,5,46.94096670633108,8.1290322888282045,49.699999906122684
sylvestris_high,1976,6,76.37678404769544,12.839999961853028,20.49999949336052
sylvestris_high,1976,7,97.22545641851764,15.87419346840151,16.299999713897705
sylvestris_high,1976,8,95.72551406294598,16.6064515267649,0.4000000059604645
sylvestris_high,1976,9,54.0101506674581,10.856666723887123,34.999999314546585
sylvestris_high,1976,10,21.83938327882434,4.903225800683422,128.59999833256006
sylvestris_high,1976,11,10.216274732795483,2.7000000139077502,22.69999933242798
sylvestris_high,1976,12,9.44311917985992,2.5548387225116453,289.8999975696206
sylvestris_high,1977,1,2.148247350618699,0.6096774060879985,153.2999999076128
sylvestris_high,1977,2,10.587123196378544,2.81785715211715,32.79999986290932
sylvestris_high,1977,3,23.07888091974988,4.8967741516328624,14.800000205636024
