sp_elev,year,month,monthly_pet,monthly_tmed,monthly_prec
nigra_low,1971,1,10.232543644821304,3.7225806501603897,68.69999904930592
nigra_low,1971,2,15.631623489321967,5.317857188837869,1.4000000357627869
nigra_low,1971,3,10.780840261151376,3.335483881014009,63.700000420212746
nigra_low,1971,4,24.157325323110015,6.096666697661082,172.5000004991889
nigra_low,1971,5,37.95019902999111,8.061290356420702,34.39999994635582
nigra_low,1971,6,75.12170902064625,14.00666675567627,15.099999904632568
nigra_low,1971,7,115.31643709851804,19.58387073393791,2
nigra_low,1971,8,119.49393359555772,21.232258027599705,1.1000000312924385
nigra_low,1971,9,77.71349328468958,16.563333415985106,9.200000390410423
nigra_low,1971,10,53.11666808839769,12.861290377955283,1
nigra_low,1971,11,8.750734842092548,3.28666668732961,36.60000024735928
nigra_low,1971,12,8.96208911637013,3.409677438197597,55.19999960064888
nigra_low,1972,1,4.576886572108241,1.9290322541229183,72.09999988228083
nigra_low,1972,2,7.529227178657637,2.9275861988807548,39.29999995231629
nigra_low,1972,3,15.104060808112465,4.3935484097849935,50.400000251829624
nigra_low,1972,4,33.41214067841194,7.946666677792867,7.8999999538064
nigra_low,1972,5,51.73466048433468,10.383870863145397,41.09999969601631
nigra_low,1972,6,85.70949474234264,15.600000063578287,6.300000101327896
nigra_low,1972,7,118.08880951352955,19.967741873956495,0
nigra_low,1972,8,105.6718451563567,19.20322581260435,1.1000000089406967
nigra_low,1972,9,58.35604530764447,13.10666669209798,46.19999943673611
nigra_low,1972,10,38.63730699831011,9.916129081479964,132.4000002667308
nigra_low,1972,11,24.332935838446716,7.580000034968058,45.3999999538064
nigra_low,1972,12,11.882830687610848,4.2935483717629985,13.800000339746475
nigra_low,1973,1,8.513726207651715,3.2032258087588894,40.199999429285526
nigra_low,1973,2,6.195436188736987,2.4964285854782378,29.700000047683716
nigra_low,1973,3,16.582584897064912,4.741935483870968,58.19999850541353
nigra_low,1973,4,34.84128667443684,8.223333303133646,4.200000107288361
nigra_low,1973,5,66.12944819844958,12.690322645248903,25.100000858306885
nigra_low,1973,6,85.14949181091325,15.516666571299234,4.999999962747097
nigra_low,1973,7,120.45121819804498,20.29354833787487,0
nigra_low,1973,8,120.58354596652784,21.390322716005382,7.799999833106995
nigra_low,1973,9,87.68227802527136,18.280000178019204,0
nigra_low,1973,10,45.81163295759904,11.396774215082967,183.5999998152256
nigra_low,1973,11,27.968130197991755,8.493333387374879,41.19999907165766
nigra_low,1973,12,10.148319614973794,3.774193556078018,168.5999986231327
nigra_low,1974,1,18.316288604743036,5.9903226129470335,12.700000144541264
nigra_low,1974,2,8.510190692638762,3.2357142737933566,52.299999713897705
nigra_low,1974,3,18.704729612779776,5.232258058363391,43.29999984800816
nigra_low,1974,4,23.85055830490403,6.0333333571751915,47.60000021010637
nigra_low,1974,5,72.29013141318735,13.64838710907967,0.9000000208616257
nigra_low,1974,6,89.0834808548769,16.10000009536743,20.50000024586916
nigra_low,1974,7,123.24555682045715,20.677419354838708,0.5
nigra_low,1974,8,116.39079245754716,20.78064521666496,0
nigra_low,1974,9,79.97804134238851,16.956666628519695,0.8999999910593033
nigra_low,1974,10,34.70672066189024,9.083871033883865,46.49999914318323
