sp_elev,year,month,monthly_pet,monthly_tmed,monthly_prec
pinaster_high,1971,1,8.545992867060457,2.845161310367046,96.3999994918704
pinaster_high,1971,2,14.28887873813812,4.48571426314967,1.4999999552965164
pinaster_high,1971,3,7.881307185278161,2.258064544969989,73.90000092238188
pinaster_high,1971,4,20.999350132960608,4.963333351413409,192.6000035107136
pinaster_high,1971,5,33.79333050269504,6.8096774316603135,35.09999944269657
pinaster_high,1971,6,71.89402496132267,12.999999952316283,13.699999809265137
pinaster_high,1971,7,111.2180938109994,18.654838654302782,1
pinaster_high,1971,8,115.991385160125,20.432258052210653,1.5000000298023224
pinaster_high,1971,9,74.92326779912898,15.619999917348226,10.400000013411043
pinaster_high,1971,10,50.740271114599885,11.85806457458004,1.2000000029802322
pinaster_high,1971,11,6.287574026882075,2.1900000068048637,41.59999921917915
pinaster_high,1971,12,7.325948444471834,2.54516126600004,52.200000539422035
pinaster_high,1972,1,2.396885882397183,0.9483870878334968,92.5000006109476
pinaster_high,1972,2,4.85721091686392,1.765517241482077,47.20000059902668
pinaster_high,1972,3,11.922024251008118,3.2290322626790693,65.30000014603138
pinaster_high,1972,4,30.65877197855128,6.8833333651224775,7.699999965727329
pinaster_high,1972,5,49.01398986287709,9.390322583336983,53.59999975562096
pinaster_high,1972,6,83.38162146411594,14.776666641235352,7.700000002980232
pinaster_high,1972,7,115.166584160292,19.225806513140277,0
pinaster_high,1972,8,102.47762388330624,18.35806449767082,0.9000000059604645
pinaster_high,1972,9,55.15198554675538,11.986666711171468,52.099999979138374
pinaster_high,1972,10,35.960875362648856,8.806451659048758,149.19999776780605
pinaster_high,1972,11,22.90577072524749,6.69333332379659,38.69999946653843
pinaster_high,1972,12,10.614227657312645,3.5064516271794997,19.599999845027924
pinaster_high,1973,1,6.3463465605182545,2.199999971255179,45.899999275803566
pinaster_high,1973,2,3.746619231106134,1.4107142708131246,37.79999891668558
pinaster_high,1973,3,13.75946226077802,3.654838719675618,56.30000118166208
pinaster_high,1973,4,32.539101677954456,7.246666705608368,4.399999909102917
pinaster_high,1973,5,62.95531839654294,11.658064626878309,32.500001192092896
pinaster_high,1973,6,81.68625295157517,14.516666666666667,4.200000002980232
pinaster_high,1973,7,117.49524615297574,19.56129015645673,0
pinaster_high,1973,8,117.00915078569192,20.58709673727712,9.49999962002039
pinaster_high,1973,9,84.73852196235926,17.373333326975505,0
pinaster_high,1973,10,43.70248210357383,10.422580734375984,227.2000058889389
pinaster_high,1973,11,26.46577027773958,7.583333341280619,51.29999974370003
pinaster_high,1973,12,8.575180727644145,2.9161290487935467,189.80000076442957
pinaster_high,1974,1,16.999656770238353,5.154838735057462,16.20000036805868
pinaster_high,1974,2,6.06585608873561,2.1392857187560628,63.700000420212746
pinaster_high,1974,3,15.91725642283661,4.145161290562922,56.89999908208847
pinaster_high,1974,4,20.120624272515,4.783333345254262,73.0000007301569
pinaster_high,1974,5,69.0820775422078,12.632258069130682,0.5000000074505806
pinaster_high,1974,6,85.88974861744634,15.160000006357828,19.10000017285347
pinaster_high,1974,7,119.51551410653332,19.85161292168402,0.5000000149011612
pinaster_high,1974,8,113.09320256079282,19.990322574492424,0.10000000149011612
pinaster_high,1974,9,77.18507969376093,16.026666609446206,1.2999999970197678
pinaster_high,1974,10,32.433688989891124,8.054838672760994,43.39999993145466
pinaster_high,1974,11,23.819024286446457,6.923333342870077,8.399999737739563
pinaster_high,1974,12,19.971545358961468,6.054838688142838,0
pinaster_high,1975,1,15.458406939498053,4.748387071394151,48.69999922066927
pinaster_high,1975,2,11.70330235428082,3.775000052792685,39.59999976307154
pinaster_high,1975,3,7.86827976980229,2.2548386944878485,103.40000020712614
pinaster_high,1975,4,24.579726992937644,5.686666661997636,93.19999964535236
pinaster_high,1975,5,39.08900170316836,7.722580648237659,43.79999975115061
pinaster_high,1975,6,74.22426828513497,13.36333343187968,31.800000309944153
pinaster_high,1975,7,131.73282395623508,21.593548313263923,1.0999999940395355
pinaster_high,1975,8,109.51091647991868,19.44193538542717,0.4000000059604645
pinaster_high,1975,9,63.25054820530173,13.49333332379659,9.000000223517418
pinaster_high,1975,10,48.463236323454225,11.396774215082967,0.8000000193715096
pinaster_high,1975,11,16.988888447725873,5.1699999948342645,19.100000396370888
pinaster_high,1975,12,2.935801378623581,1.1548387177528874,96.10000086575748
pinaster_high,1976,1,7.10602858098777,2.425806461803375,47.799999713897705
pinaster_high,1976,2,5.521759434793722,1.9724137839572184,35.39999967068434
