sp_elev,year,month,monthly_pet,monthly_tmed,monthly_prec
halepensis_high,1978,5,49.030789607855425,10.783870973894674,70.39999964088202
halepensis_high,1978,6,70.52371685083256,14.090000025431316,16.300000049173832
halepensis_high,1978,7,128.83752194188665,21.83225810143255,0
halepensis_high,1978,8,116.34839672587124,21.20967741935484,3.700000032782554
halepensis_high,1978,9,89.7827527184288,19.19999990463257,0
halepensis_high,1978,10,46.344873702891874,12.335483889425957,16.800000309944153
halepensis_high,1978,11,17.959234099878692,6.700000007947286,20.099999226629738
halepensis_high,1978,12,16.897677512464742,6.503225844954291,27.699999824166294
halepensis_high,1979,1,14.161384107512974,5.5903225483432895,130.79999923706055
halepensis_high,1979,2,13.741673051914075,5.517857147114618,78.60000069439411
halepensis_high,1979,3,19.31156650661555,6.132258113353483,16.000000298023224
halepensis_high,1979,4,32.12912721662868,8.530000003178914,1.399999976158142
halepensis_high,1979,5,65.57450328025168,13.409677443965789,4.099999964237213
halepensis_high,1979,6,100.73464696962604,18.40666659673055,0
halepensis_high,1979,7,123.35616947589052,21.13225810758529,23.5
halepensis_high,1979,8,122.19198092446668,22.00322606486659,0
halepensis_high,1979,9,68.70012517274574,15.709999974568683,21.299999870359898
halepensis_high,1979,10,38.56595074917463,10.748387121385145,86.99999904632568
halepensis_high,1979,11,21.322530655747663,7.620000060399374,0.800000011920929
halepensis_high,1979,12,14.80721759819022,5.89032256603241,6.900000154972076
halepensis_high,1980,1,8.982663064665527,3.9741935540110833,25.599999606609344
halepensis_high,1980,2,19.710855340435145,7.231034525509538,47.39999940991402
halepensis_high,1980,3,23.751902602068238,7.161290291816957,29.799999870359898
halepensis_high,1980,4,34.81970746940398,9.060000038146972,9.900000154972076
halepensis_high,1980,5,51.254272751386885,11.14838710907967,10.100000083446504
halepensis_high,1980,6,91.76074282418573,17.163333384195962,13.299999594688416
halepensis_high,1980,7,115.40826596508246,20.10322586182625,0
halepensis_high,1980,8,124.32366269636326,22.29032245759041,1.100000023841858
halepensis_high,1980,9,83.35404464919183,18.159999974568684,6.599999964237213
halepensis_high,1980,10,43.107934309299026,11.683871023116572,9.499999955296516
halepensis_high,1980,11,17.852031598349747,6.669999966522058,29.600000619888306
halepensis_high,1980,12,7.88876790043966,3.674193536562304,0.699999988079071
halepensis_high,1981,1,12.118442936120442,4.974193582611699,0.20000000298023224
halepensis_high,1981,2,14.08686327529132,5.621428549289703,0
halepensis_high,1981,3,38.99266503523154,10.383870940054615,13.000000059604645
halepensis_high,1981,4,32.17938799242541,8.5399999777476,44.50000090897083
halepensis_high,1981,5,62.79057721389533,12.980645164366692,3.900000095367432
halepensis_high,1981,6,106.49426801696,19.18999980290731,38.70000088214874
halepensis_high,1981,7,120.47568154342608,20.761290273358743,0
halepensis_high,1981,8,109.0184773761615,20.199999840028823,15.099999524652958
halepensis_high,1981,9,84.21244965328079,18.299999968210855,2.6000000536441803
halepensis_high,1981,10,61.37232492790234,15.225806451612904,3.7000001072883606
halepensis_high,1981,11,33.620847574157644,10.719999965031942,0
halepensis_high,1981,12,16.407458137956862,6.36129032411883,70.19999988377094
halepensis_high,1982,1,14.041590629320954,5.554838726597447,58.40000011771917
halepensis_high,1982,2,13.139866124234471,5.335714289120266,13.29999966919422
halepensis_high,1982,3,28.845028797529675,8.283870989276517,17.199999667704105
halepensis_high,1982,4,35.55656220455234,9.203333393732708,44.60000067949295
halepensis_high,1982,5,64.94391381394254,13.31290328118109,13.300000369548798
halepensis_high,1982,6,108.7707651694439,19.496666526794435,0.699999988079071
halepensis_high,1982,7,134.50626349321263,22.54838703524682,0
halepensis_high,1982,8,114.60469496341436,20.970967815768333,0.20000000298023224
